都道府県名|陽性者数 検査人数※3||％
北海道|7,163|128,775|5.6%
青森 ※3|281|6,373|4.4%
※3※4※5 岩手|137|7,787|1.8%
宮城 ※3※5|1,100|18,124|6.1%
秋田|74|3,155|2.3%
山形|109|7,236|1.5%
福島 ※3|478|37,883|1.3%
茨城|1,284|15,503|8.3%
栃木 ※3※5|573|51,197|1.1%
群馬 ※3※5|1,045|34,203|3.1%
埼玉 ※4|7,704|217,890|3.5%
千葉|6,447|155,589|4.1%
東京 ※1|38,022|707,444|5.4%
神奈川|11,414|234,414|4.9%
新潟 ※3※5|313|21,125|1.5%
富山 ※3※5|446|16,124|2.8%
石川 ※3|835|20,711|4.0%
福井 ※3|303|13,642|2.2%
山梨 ※3|298|12,801|2.3%
⾧野 ※3※5|618|27,741|2.2%
岐阜 ※5|932|31,534|3.0%
静岡 ※3※4|1,111|51,416|2.2%
※3※4※5 愛知|8,819|125,338|7.0%
三重 ※3|732|18,271|4.0%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|740|25,153|2.9%
京都|2,409|60,062|4.0%
大阪 ※3※5|17,930|296,260|6.1%
※3※4※5 兵庫|4,775|86,024|5.6%
奈良 ※5|1,010|29,663|3.4%
和歌山|395|12,428|3.2%
鳥取 ※3※4|53|15,397|0.3%
島根 ※5|142|6,498|2.2%
岡山 ※4|508|17,220|3.0%
広島 ※3|750|31,670|2.4%
山口 ※4|356|13,795|2.6%
徳島 ※3|179|7,750|2.3%
香川 ※5|131|15,835|0.8%
愛媛|234|5,534|4.2%
高知|148|3,729|4.0%
※3※4※5 福岡|5,552|190,077|2.9%
佐賀 ※3|293|8,901|3.3%
⾧崎|254|25,798|1.0%
熊本|970|23,064|4.2%
大分|223|25,048|0.9%
宮崎|433|8,918|4.9%
鹿児島|592|25,683|2.3%
沖縄 ※3|4,015|67,667|5.9%
⾧崎船 ※2 その他|149|0|-
合計|132,479|2,966,450|4.5%
