都道府県名|陽性者数 検査人数※3||％
北海道|15,502|274,167|5.7%
青森 ※3|622|11,816|5.3%
※3※4※5 岩手|454|16,693|2.7%
宮城 ※3※5|2,834|43,195|6.6%
秋田|189|5,211|3.6%
山形|440|11,642|3.8%
福島 ※3|1,373|68,888|2.0%
茨城|3,617|20,711|17.5%
栃木 ※3※5|3,012|86,920|3.5%
群馬 ※3※5|3,146|63,526|5.0%
埼玉 ※4|19,770|377,375|5.2%
千葉|15,883|258,017|6.2%
東京 ※1|82,069|1,150,773|7.1%
神奈川|31,563|412,964|7.6%
新潟 ※3※5|754|32,371|2.3%
富山 ※3※5|768|26,823|2.9%
石川 ※3|1,287|35,148|3.7%
福井 ※3|436|22,547|1.9%
山梨 ※3|816|14,741|5.5%
長野 ※3※5|1,876|63,438|3.0%
岐阜 ※5|3,366|83,213|4.0%
静岡 ※3※4|3,705|106,902|3.5%
※3※4※5 愛知|20,377|257,837|7.9%
三重 ※3|1,717|35,367|4.9%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|1,698|45,687|3.7%
京都|6,463|111,064|5.8%
大阪 ※3※5|37,002|550,329|6.7%
※3※4※5 兵庫|12,978|166,607|7.8%
奈良 ※5|2,525|58,339|4.3%
和歌山|836|18,660|4.5%
鳥取 ※3※4|173|29,204|0.6%
島根 ※5|233|10,183|2.3%
岡山 ※4|2,002|35,839|5.6%
広島 ※3|4,270|99,692|4.3%
山口 ※4|779|35,818|2.2%
徳島 ※3|284|17,481|1.6%
香川 ※5|514|31,353|1.6%
愛媛|786|18,632|4.2%
高知|761|6,276|12.1%
※3※4※5 福岡|12,349|308,566|4.0%
佐賀 ※3|733|18,336|4.0%
長崎|1,157|47,964|2.4%
熊本|2,722|43,346|6.3%
大分|897|52,773|1.7%
宮崎|1,475|18,888|7.8%
鹿児島|1,301|47,627|2.7%
沖縄 ※3|6,181|98,894|6.3%
長崎船 ※2 その他|149|0|-
合計|313,844|5,351,843|5.9%
