都道府県名|陽性者数 検査人数※3||％
北海道|2,267|61,798|3.7%
青森 ※3|37|2,585|1.4%
※3※4※5 岩手|24|4,518|0.5%
宮城 ※3※5|453|11,139|4.1%
秋田|58|2,304|2.5%
山形|79|5,253|1.5%
福島 ※3|287|21,931|1.3%
茨城|698|12,846|5.4%
栃木 ※3|443|32,855|1.3%
群馬 ※3※5|741|24,187|3.1%
埼玉 ※4|4,923|151,207|3.3%
千葉|4,193|103,301|4.1%
東京 ※1|27,117|495,064|5.5%
神奈川|7,331|164,983|4.4%
新潟 ※3※5|176|16,062|1.1%
富山 ※3※5|422|13,147|3.2%
石川 ※3|778|14,054|5.5%
福井 ※3|248|10,019|2.5%
山梨 ※3|196|10,928|1.8%
長野 ※3※5|317|19,906|1.6%
岐阜 ※5|631|23,881|2.6%
静岡 ※3※4|565|36,984|1.5%
※3※4※5 愛知|5,478|82,828|6.6%
三重 ※3|535|13,783|3.9%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※3※5|510|12,593|4.0%
京都|1,800|45,125|4.0%
大阪 ※3※5|10,999|197,287|5.6%
※3※4※5 兵庫|2,838|59,555|4.8%
奈良 ※5|587|21,824|2.7%
和歌山|243|9,550|2.5%
鳥取 ※3|36|5,510|0.7%
島根 ※5|140|5,896|2.4%
岡山 ※4|162|8,654|1.9%
広島 ※3|615|21,723|2.8%
山口 ※4|207|10,311|2.0%
徳島 ※3|149|7,054|2.1%
香川 ※5|93|11,368|0.8%
愛媛|115|4,167|2.8%
高知|138|3,524|3.9%
※3※4※5 福岡|5,069|141,044|3.6%
佐賀 ※3|248|6,243|4.0%
長崎|238|19,543|1.2%
熊本|642|17,067|3.8%
大分|158|17,842|0.9%
宮崎|344|8,654|4.0%
鹿児島|447|20,098|2.2%
沖縄 ※3|2,682|42,581|6.3%
長崎船 ※2 その他|149|0|-
合計|86,606|2,032,776|4.3%
