都道府県名|陽性者数 検査人数※3||％
北海道|2,542|70,302|3.6%
青森 ※3|122|3,217|3.8%
※3※4※5 岩手|26|4,915|0.5%
宮城 ※3※5|526|12,334|4.3%
秋田|59|2,384|2.5%
山形|81|5,370|1.5%
福島 ※3|369|25,322|1.5%
茨城|728|13,174|5.5%
栃木 ※3※5|466|34,491|1.4%
群馬 ※3※5|785|26,435|3.0%
埼玉 ※4|5,393|165,689|3.3%
千葉|4,548|113,355|4.0%
東京 ※1|29,046|541,987|5.4%
神奈川|7,965|182,376|4.4%
新潟 ※3※5|180|16,905|1.1%
富山 ※3※5|422|14,003|3.0%
石川 ※3|795|15,422|5.2%
福井 ※3|256|10,562|2.4%
山梨 ※3|199|11,252|1.8%
長野 ※3※5|326|21,163|1.5%
岐阜 ※5|644|24,988|2.6%
静岡 ※3※4|580|39,592|1.5%
※3※4※5 愛知|5,685|89,287|6.4%
三重 ※3|549|14,763|3.7%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※3※5|527|13,359|3.9%
京都|1,928|49,179|3.9%
大阪 ※3※5|11,555|213,697|5.4%
※3※4※5 兵庫|3,008|63,825|4.7%
奈良 ※5|613|23,285|2.6%
和歌山|255|9,940|2.6%
鳥取 ※3|36|5,559|0.6%
島根 ※5|140|6,033|2.3%
岡山 ※4|173|8,654|2.0%
広島 ※3|650|25,370|2.6%
山口 ※4|209|11,045|1.9%
徳島 ※3|159|7,230|2.2%
香川 ※5|99|12,515|0.8%
愛媛|116|4,246|2.7%
高知|140|3,587|3.9%
※3※4※5 福岡|5,142|151,512|3.4%
佐賀 ※3|252|6,617|3.8%
長崎|242|20,834|1.2%
熊本|746|18,505|4.0%
大分|159|19,211|0.8%
宮崎|366|8,720|4.2%
鹿児島|463|21,449|2.2%
沖縄 ※3|2,954|47,970|6.2%
長崎船 ※2 その他|149|0|-
合計|92,373|2,211,630|4.2%
