都道府県名|陽性者数 検査人数※3||％
北海道|12,618|221,431|5.7%
青森 ※3|407|8,815|4.6%
※3※4※5 岩手|348|13,412|2.6%
宮城 ※3※5|1,888|23,979|7.9%
秋田|105|3,981|2.6%
山形|345|9,840|3.5%
福島 ※3|801|52,405|1.5%
茨城|2,226|18,395|12.1%
栃木 ※3※5|1,130|67,978|1.7%
群馬 ※3※5|2,044|49,855|4.1%
埼玉 ※4|12,466|299,420|4.2%
千葉|9,700|215,977|4.5%
東京 ※1|54,018|943,733|5.7%
神奈川|18,227|330,515|5.5%
新潟 ※3※5|472|26,589|1.8%
富山 ※3※5|517|20,986|2.5%
石川 ※3|998|28,122|3.5%
福井 ※3|339|18,198|1.9%
山梨 ※3|502|14,393|3.5%
長野 ※3※5|1,071|44,772|2.4%
岐阜 ※5|1,895|60,108|3.2%
静岡 ※3※4|2,480|87,010|2.9%
※3※4※5 愛知|14,648|187,452|7.8%
三重 ※3|1,187|26,913|4.4%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|985|34,974|2.8%
京都|3,998|85,844|4.7%
大阪 ※3※5|28,101|431,240|6.5%
※3※4※5 兵庫|8,605|127,869|6.7%
奈良 ※5|1,782|45,756|3.9%
和歌山|590|16,018|3.7%
鳥取 ※3※4|79|22,166|0.4%
島根 ※5|189|8,556|2.2%
岡山 ※4|1,186|27,231|4.4%
広島 ※3|2,571|63,829|4.0%
山口 ※4|494|26,760|1.8%
徳島 ※3|194|14,581|1.3%
香川 ※5|258|21,873|1.2%
愛媛|389|10,961|3.5%
高知|592|5,471|10.8%
※3※4※5 福岡|7,852|248,984|3.2%
佐賀 ※3|433|14,290|3.0%
長崎|457|36,313|1.3%
熊本|1,545|32,438|4.8%
大分|596|39,423|1.5%
宮崎|686|12,057|5.7%
鹿児島|890|35,610|2.5%
沖縄 ※3|5,095|85,518|6.0%
長崎船 ※2 その他|149|0|-
合計|208,148|4,222,041|4.9%
