都道府県名|陽性者数 検査人数※3||％
北海道|2,763|75,383|3.7%
青森 ※3|175|4,043|4.3%
※3※4※5 岩手|27|5,134|0.5%
宮城 ※3※5|572|13,206|4.3%
秋田|61|2,448|2.5%
山形|84|5,761|1.5%
福島 ※3|386|27,446|1.4%
茨城|741|13,525|5.5%
栃木 ※3※5|477|35,148|1.4%
群馬 ※3※5|867|27,802|3.1%
埼玉 ※4|5,619|174,268|3.2%
千葉|4,811|119,909|4.0%
東京 ※1|30,033|567,880|5.3%
神奈川|8,369|187,119|4.5%
新潟 ※3※5|182|17,333|1.1%
富山 ※3※5|422|14,261|3.0%
石川 ※3|799|16,229|4.9%
福井 ※3|256|10,775|2.4%
山梨 ※3|203|11,373|1.8%
長野 ※3※5|330|22,077|1.5%
岐阜 ※5|672|26,080|2.6%
静岡 ※3※4|588|40,885|1.4%
※3※4※5 愛知|5,853|93,722|6.2%
三重 ※3|555|15,427|3.6%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※3※5|538|13,730|3.9%
京都|1,958|50,753|3.9%
大阪 ※3※5|12,046|224,311|5.4%
※3※4※5 兵庫|3,126|66,255|4.7%
奈良 ※5|625|23,806|2.6%
和歌山|272|10,252|2.7%
鳥取 ※3|35|5,582|0.6%
島根 ※5|140|6,123|2.3%
岡山 ※4|203|10,217|2.0%
広島 ※3|655|26,568|2.5%
山口 ※4|213|11,543|1.8%
徳島 ※3|164|7,410|2.2%
香川 ※5|101|12,994|0.8%
愛媛|116|4,293|2.7%
高知|142|3,610|3.9%
※3※4※5 福岡|5,179|158,020|3.3%
佐賀 ※3|254|6,917|3.7%
長崎|242|21,632|1.1%
熊本|768|19,032|4.0%
大分|159|20,109|0.8%
宮崎|366|8,741|4.2%
鹿児島|463|21,698|2.1%
沖縄 ※3|3,165|53,366|5.9%
長崎船 ※2 その他|149|0|-
合計|95,924|2,314,196|4.1%
