都道府県名|陽性者数 検査人数※3||％
北海道|12,197|212,225|5.7%
青森 ※3|390|8,660|4.5%
※3※4※5 岩手|335|12,971|2.6%
宮城 ※3※5|1,753|23,759|7.4%
秋田|95|3,878|2.4%
山形|302|9,487|3.2%
福島 ※3|732|49,610|1.5%
茨城|2,133|18,137|11.8%
栃木 ※3※5|1,022|66,091|1.5%
群馬 ※3※5|1,933|46,260|4.2%
埼玉 ※4|11,675|281,001|4.2%
千葉|9,055|204,487|4.4%
東京 ※1|51,446|901,556|5.7%
神奈川|16,852|311,376|5.4%
新潟 ※3※5|440|25,739|1.7%
富山 ※3※5|492|19,756|2.5%
石川 ※3|960|26,887|3.6%
福井 ※3|337|17,490|1.9%
山梨 ※3|467|14,278|3.3%
⾧野 ※3※5|1,046|40,462|2.6%
岐阜 ※5|1,731|56,477|3.1%
静岡 ※3※4|2,354|74,303|3.2%
※3※4※5 愛知|13,967|170,726|8.2%
三重 ※3|1,144|26,913|4.3%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|924|33,175|2.8%
京都|3,559|79,776|4.5%
大阪 ※3※5|27,037|412,580|6.6%
※3※4※5 兵庫|8,100|122,507|6.6%
奈良 ※5|1,654|41,712|4.0%
和歌山|578|15,724|3.7%
鳥取 ※3※4|69|21,076|0.3%
島根 ※5|181|8,556|2.1%
岡山 ※4|1,082|27,231|4.0%
広島 ※3|2,203|56,843|3.9%
山口 ※4|464|24,734|1.9%
徳島 ※3|191|14,274|1.3%
香川 ※5|208|20,585|1.0%
愛媛|375|10,863|3.5%
高知|501|5,271|9.5%
※3※4※5 福岡|7,366|239,470|3.1%
佐賀 ※3|409|13,371|3.1%
⾧崎|352|33,005|1.1%
熊本|1,414|29,926|4.7%
大分|574|37,251|1.5%
宮崎|666|11,569|5.8%
鹿児島|875|33,826|2.6%
沖縄 ※3|4,968|83,657|5.9%
⾧崎船 ※2 その他|149|0|-
合計|196,757|3,999,511|4.9%
