都道府県名|陽性者数 検査人数※3||％
北海道|12,876|227,301|5.7%
青森 ※3|422|9,115|4.6%
※3※4※5 岩手|363|13,594|2.7%
宮城 ※3※5|1,983|23,979|8.3%
秋田|123|4,020|3.1%
山形|361|9,985|3.6%
福島 ※3|865|54,539|1.6%
茨城|2,280|18,432|12.4%
栃木 ※3※5|1,207|69,676|1.7%
群馬 ※3※5|2,134|50,358|4.2%
埼玉 ※4|13,029|302,513|4.3%
千葉|10,113|219,395|4.6%
東京 ※1|55,851|962,086|5.8%
神奈川|19,173|334,987|5.7%
新潟 ※3※5|503|27,142|1.9%
富山 ※3※5|538|21,295|2.5%
石川 ※3|1,022|28,720|3.6%
福井 ※3|345|18,612|1.9%
山梨 ※3|509|14,417|3.5%
長野 ※3※5|1,105|45,163|2.4%
岐阜 ※5|1,978|62,489|3.2%
静岡 ※3※4|2,539|88,334|2.9%
※3※4※5 愛知|15,183|191,017|7.9%
三重 ※3|1,211|29,023|4.2%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|1,062|35,847|3.0%
京都|4,105|87,310|4.7%
大阪 ※3※5|28,694|443,170|6.5%
※3※4※5 兵庫|8,989|131,315|6.8%
奈良 ※5|1,843|46,358|4.0%
和歌山|594|16,235|3.7%
鳥取 ※3※4|84|23,151|0.4%
島根 ※5|194|9,344|2.1%
岡山 ※4|1,245|31,723|3.9%
広島 ※3|2,815|65,962|4.3%
山口 ※4|516|26,760|1.9%
徳島 ※3|195|14,889|1.3%
香川 ※5|273|22,824|1.2%
愛媛|407|12,061|3.4%
高知|618|5,688|10.9%
※3※4※5 福岡|7,995|255,221|3.1%
佐賀 ※3|443|14,538|3.0%
長崎|457|37,590|1.2%
熊本|1,669|33,475|5.0%
大分|617|40,580|1.5%
宮崎|695|12,114|5.7%
鹿児島|920|36,020|2.6%
沖縄 ※3|5,169|86,612|6.0%
長崎船 ※2 その他|149|0|-
合計|215,461|4,314,979|5.0%
