都道府県名|陽性者数 検査人数※3||％
北海道|2,559|70,602|3.6%
青森 ※3|134|3,292|4.1%
※3※4※5 岩手|26|4,920|0.5%
宮城 ※3※5|529|12,420|4.3%
秋田|60|2,385|2.5%
山形|81|5,455|1.5%
福島 ※3|369|25,607|1.4%
茨城|730|13,450|5.4%
栃木 ※3※5|471|34,579|1.4%
群馬 ※3※5|797|26,713|3.0%
埼玉 ※4|5,426|165,888|3.3%
千葉|4,588|113,803|4.0%
東京 ※1|29,185|548,184|5.3%
神奈川|8,012|181,055|4.4%
新潟 ※3※5|180|17,023|1.1%
富山 ※3※5|422|14,109|3.0%
石川 ※3|795|15,522|5.1%
福井 ※3|256|10,592|2.4%
山梨 ※3|199|11,267|1.8%
⾧野 ※3※5|326|21,361|1.5%
岐阜 ※5|647|25,188|2.6%
静岡 ※3※4|580|40,000|1.5%
※3※4※5 愛知|5,700|90,514|6.3%
三重 ※3|550|14,854|3.7%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※3※5|530|13,369|4.0%
京都|1,931|49,391|3.9%
大阪 ※3※5|11,620|215,799|5.4%
※3※4※5 兵庫|3,013|64,193|4.7%
奈良 ※5|615|23,410|2.6%
和歌山|259|9,994|2.6%
鳥取 ※3|36|5,559|0.6%
島根 ※5|140|6,049|2.3%
岡山 ※4|174|8,654|2.0%
広島 ※3|651|25,832|2.5%
山口 ※4|209|11,132|1.9%
徳島 ※3|162|7,267|2.2%
香川 ※5|99|12,599|0.8%
愛媛|116|4,258|2.7%
高知|140|3,588|3.9%
※3※4※5 福岡|5,146|152,905|3.4%
佐賀 ※3|252|6,690|3.8%
⾧崎|242|20,984|1.2%
熊本|750|18,571|4.0%
大分|159|19,474|0.8%
宮崎|366|8,725|4.2%
鹿児島|463|21,538|2.1%
沖縄 ※3|2,975|48,352|6.2%
⾧崎船 ※2 その他|149|0|-
合計|92,819|2,227,116|4.2%
