都道府県名|陽性者数 検査人数※3||％
北海道|11,789|203,872|5.8%
青森 ※3|390|8,553|4.6%
※3※4※5 岩手|327|12,450|2.6%
宮城 ※3※5|1,650|22,849|7.2%
秋田|94|3,877|2.4%
山形|296|9,449|3.1%
福島 ※3|672|47,854|1.4%
茨城|2,081|18,084|11.5%
栃木 ※3※5|968|63,840|1.5%
群馬 ※3※5|1,819|45,813|4.0%
埼玉 ※4|11,090|274,984|4.0%
千葉|8,659|199,218|4.3%
東京 ※1|49,490|885,494|5.6%
神奈川|16,003|307,929|5.2%
新潟 ※3※5|421|25,335|1.7%
富山 ※3※5|480|19,629|2.4%
石川 ※3|938|26,165|3.6%
福井 ※3|337|17,267|2.0%
山梨 ※3|463|14,234|3.3%
長野 ※3※5|1,013|40,050|2.5%
岐阜 ※5|1,629|54,297|3.0%
静岡 ※3※4|2,299|72,162|3.2%
※3※4※5 愛知|13,282|168,108|7.9%
三重 ※3|1,115|24,205|4.6%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|894|32,541|2.7%
京都|3,475|78,701|4.4%
大阪 ※3※5|26,167|399,915|6.5%
※3※4※5 兵庫|7,682|118,382|6.5%
奈良 ※5|1,577|41,214|3.8%
和歌山|570|15,528|3.7%
鳥取 ※3※4|68|20,828|0.3%
島根 ※5|174|7,659|2.3%
岡山 ※4|885|27,231|3.2%
広島 ※3|1,889|51,951|3.6%
山口 ※4|445|24,734|1.8%
徳島 ※3|188|14,101|1.3%
香川 ※5|206|20,108|1.0%
愛媛|372|9,854|3.8%
高知|455|5,094|8.9%
※3※4※5 福岡|6,890|233,615|2.9%
佐賀 ※3|403|12,810|3.1%
長崎|345|31,700|1.1%
熊本|1,353|29,145|4.6%
大分|556|36,116|1.5%
宮崎|632|11,471|5.5%
鹿児島|837|33,532|2.5%
沖縄 ※3|4,898|81,811|6.0%
長崎船 ※2 その他|149|0|-
合計|188,415|3,903,759|4.8%
