都道府県名|陽性者数 検査人数※3||％
北海道|2,323|63,459|3.7%
青森 ※3|37|2,590|1.4%
※3※4※5 岩手|24|4,599|0.5%
宮城 ※3※5|474|11,312|4.2%
秋田|58|2,309|2.5%
山形|81|5,281|1.5%
福島 ※3|302|22,541|1.3%
茨城|706|12,878|5.5%
栃木 ※3|445|33,337|1.3%
群馬 ※3※5|755|24,642|3.1%
埼玉 ※4|5,051|152,675|3.3%
千葉|4,268|104,558|4.1%
東京 ※1|27,569|503,424|5.5%
神奈川|7,471|167,935|4.4%
新潟 ※3※5|177|16,216|1.1%
富山 ※3※5|422|13,250|3.2%
石川 ※3|780|14,335|5.4%
福井 ※3|249|10,179|2.4%
山梨 ※3|196|10,962|1.8%
長野 ※3※5|320|20,010|1.6%
岐阜 ※5|633|24,135|2.6%
静岡 ※3※4|565|37,352|1.5%
※3※4※5 愛知|5,504|83,697|6.6%
三重 ※3|535|13,981|3.8%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※3※5|514|12,804|4.0%
京都|1,809|45,380|4.0%
大阪 ※3※5|11,109|200,492|5.5%
※3※4※5 兵庫|2,881|60,473|4.8%
奈良 ※5|595|21,963|2.7%
和歌山|249|9,667|2.6%
鳥取 ※3|36|5,527|0.7%
島根 ※5|140|5,925|2.4%
岡山 ※4|163|8,654|1.9%
広島 ※3|625|22,098|2.8%
山口 ※4|209|10,572|2.0%
徳島 ※3|149|7,085|2.1%
香川 ※5|93|11,478|0.8%
愛媛|115|4,175|2.8%
高知|138|3,533|3.9%
※3※4※5 福岡|5,101|143,150|3.6%
佐賀 ※3|248|6,280|3.9%
長崎|239|19,842|1.2%
熊本|673|17,381|3.9%
大分|158|18,121|0.9%
宮崎|344|8,656|4.0%
鹿児島|447|20,254|2.2%
沖縄 ※3|2,729|44,109|6.2%
長崎船 ※2 その他|149|0|-
合計|87,858|2,063,276|4.3%
