都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|61,501|1,278,988|207|0|59,815|1,475
青森|5,902|104,915|1|0|5,863|38
岩手|3,490|136,540|3|0|3,434|53
宮城|16,291|264,222|2|0|16,170|118
秋田|1,934|27,664|0|0|1,907|27
山形|3,607|115,660|1|0|3,550|56
福島|9,520|472,020|22|0|9,322|176
茨城|24,490|40,590|14|0|24,256|220
栃木|15,616|529,917|84|0|15,415|117
群馬|17,316|355,311|133|2|17,065|176
埼玉|116,092|1,655,563|120|1|114,913|1,059
千葉|100,688|1,243,478|55|1|99,587|1,028
東京|383,078|4,196,279|536|1|379,367|3,175
神奈川|169,830|1,839,374|204|2|168,307|1,319
新潟|8,244|329,370|73|0|8,109|62
富山|4,869|132,342|1|0|4,816|52
石川|8,049|214,962|64|0|7,829|134
福井|3,117|127,165|2|0|3,077|38
山梨|5,161|135,182|0|0|5,132|29
長野|8,959|368,727|38|0|8,880|97
岐阜|19,280|474,766|4|0|19,056|219
静岡|26,898|733,273|19|0|26,663|209
愛知|106,773|1,516,048|69|0|105,543|1,161
三重|14,821|273,776|2|0|14,983|163
滋賀|12,507|297,867|49|0|12,354|104
京都|36,195|475,049|138|12|35,745|292
大阪|203,790|4,268,498|373|19|200,353|3,064
兵庫|78,886|868,905|97|3|77,391|1,398
奈良|15,958|283,091|20|0|15,789|149
和歌山|5,304|68,578|0|0|5,136|62
鳥取|1,669|170,026|0|0|1,639|5
島根|1,756|64,047|23|0|1,728|5
岡山|15,555|310,392|2|0|15,417|136
広島|22,199|990,011|19|0|21,978|202
山口|5,848|215,836|47|0|5,708|93
徳島|3,291|117,319|1|0|3,225|66
香川|4,708|146,077|3|0|4,666|38
愛媛|5,412|175,070|0|0|5,330|82
高知|4,168|111,790|1|0|4,134|33
福岡|74,788|1,441,123|75|3|74,083|627
佐賀|5,875|121,539|8|0|5,892|30
長崎|6,124|204,713|5|0|6,047|73
熊本|14,396|124,907|0|0|14,260|136
大分|8,187|307,826|0|0|8,103|84
宮崎|6,153|73,154|0|0|6,096|41
鹿児島|9,122|177,172|7|0|9,049|66
沖縄|50,662|440,535|259|7|50,010|398
その他（その他）|149|0|0|0|149|0
合計|1,728,228|28,019,657|2,781|51|1,707,341|18,385
