都道府県名|陽性者数 検査人数※3||％
北海道|13,055|231,206|5.6%
青森 ※3|438|9,291|4.7%
※3※4※5 岩手|379|13,759|2.8%
宮城 ※3※5|2,069|24,174|8.6%
秋田|125|4,565|2.7%
山形|369|10,097|3.7%
福島 ※3|896|55,946|1.6%
茨城|2,338|18,572|12.6%
栃木 ※3※5|1,266|70,920|1.8%
群馬 ※3※5|2,193|51,715|4.2%
埼玉 ※4|13,424|312,054|4.3%
千葉|10,393|222,862|4.7%
東京 ※1|57,040|975,031|5.9%
神奈川|19,849|342,311|5.8%
新潟 ※3※5|505|27,279|1.9%
富山 ※3※5|542|21,742|2.5%
石川 ※3|1,040|29,071|3.6%
福井 ※3|348|18,822|1.8%
山梨 ※3|525|14,459|3.6%
長野 ※3※5|1,129|46,746|2.4%
岐阜 ※5|2,068|63,198|3.3%
静岡 ※3※4|2,580|88,334|2.9%
※3※4※5 愛知|15,664|199,918|7.8%
三重 ※3|1,237|29,023|4.3%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|1,101|36,649|3.0%
京都|4,455|90,765|4.9%
大阪 ※3※5|29,077|449,377|6.5%
※3※4※5 兵庫|9,324|134,198|6.9%
奈良 ※5|1,912|47,698|4.0%
和歌山|598|16,309|3.7%
鳥取 ※3※4|95|23,602|0.4%
島根 ※5|205|9,344|2.2%
岡山 ※4|1,285|31,723|4.1%
広島 ※3|3,010|73,605|4.1%
山口 ※4|537|26,760|2.0%
徳島 ※3|195|15,074|1.3%
香川 ※5|288|23,368|1.2%
愛媛|431|12,200|3.5%
高知|634|5,782|11.0%
※3※4※5 福岡|8,292|258,021|3.2%
佐賀 ※3|450|14,638|3.1%
長崎|457|38,000|1.2%
熊本|1,739|34,504|5.0%
大分|639|40,729|1.6%
宮崎|715|12,454|5.7%
鹿児島|966|37,656|2.6%
沖縄 ※3|5,220|87,774|5.9%
長崎船 ※2 その他|149|0|-
合計|221,246|4,401,325|5.0%
