都道府県名|陽性者数 検査人数※3||％
北海道|8,869|151,817|5.8%
青森 ※3|299|6,771|4.4%
※3※4※5 岩手|204|9,575|2.1%
宮城 ※3※5|1,211|18,905|6.4%
秋田|90|3,674|2.4%
山形|138|7,609|1.8%
福島 ※3|501|40,155|1.2%
茨城|1,611|16,949|9.5%
栃木 ※3※5|664|54,964|1.2%
群馬 ※3※5|1,239|35,606|3.5%
埼玉 ※4|8,531|238,047|3.6%
千葉|7,082|164,934|4.3%
東京 ※1|41,311|767,241|5.4%
神奈川|12,716|256,331|5.0%
新潟 ※3※5|336|22,350|1.5%
富山 ※3※5|459|17,308|2.7%
石川 ※3|859|22,322|3.8%
福井 ※3|319|15,146|2.1%
山梨 ※3|344|13,574|2.5%
⾧野 ※3※5|736|31,976|2.3%
岐阜 ※5|1,093|40,312|2.7%
静岡 ※3※4|1,674|58,661|2.9%
※3※4※5 愛知|10,112|143,080|7.1%
三重 ※3|865|19,848|4.4%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|793|27,906|2.8%
京都|2,671|66,502|4.0%
大阪 ※3※5|20,591|328,242|6.3%
※3※4※5 兵庫|5,626|96,781|5.8%
奈良 ※5|1,157|33,415|3.5%
和歌山|462|13,594|3.4%
鳥取 ※3※4|58|16,572|0.3%
島根 ※5|148|6,772|2.2%
岡山 ※4|609|19,205|3.2%
広島 ※3|856|35,884|2.4%
山口 ※4|391|17,013|2.3%
徳島 ※3|181|7,830|2.3%
香川 ※5|147|17,282|0.9%
愛媛|320|7,211|4.4%
高知|157|3,770|4.2%
※3※4※5 福岡|5,860|202,317|2.9%
佐賀 ※3|319|9,795|3.3%
⾧崎|271|27,249|1.0%
熊本|1,021|24,059|4.2%
大分|309|27,917|1.1%
宮崎|513|9,821|5.2%
鹿児島|612|27,621|2.2%
沖縄 ※3|4,353|73,253|5.9%
⾧崎船 ※2 その他|149|0|-
合計|148,837|3,257,166|4.6%
