都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|60,825|1,173,913|97|0|59,256|1,472
青森|5,895|96,323|4|1|5,853|38
岩手|3,486|127,611|0|0|3,433|53
宮城|16,273|250,675|14|1|16,141|118
秋田|1,911|27,141|5|0|1,879|27
山形|3,551|105,437|5|0|3,490|56
福島|9,485|434,017|4|2|9,306|175
茨城|24,414|40,535|16|1|24,180|218
栃木|15,457|500,813|15|2|15,326|116
群馬|16,811|317,316|42|0|16,593|176
埼玉|115,653|1,534,136|84|13|114,521|1,048
千葉|100,369|1,137,153|63|1|99,276|1,026
東京|381,814|3,862,560|270|10|378,388|3,156
神奈川|168,985|1,690,449|118|7|167,556|1,311
新潟|7,999|297,683|8|0|7,930|61
富山|4,867|121,958|0|0|4,815|52
石川|7,963|202,329|2|0|7,811|129
福井|3,114|121,327|5|0|3,071|38
山梨|5,155|122,749|0|0|5,126|29
長野|8,880|337,925|6|0|8,832|97
岐阜|19,211|434,576|93|1|18,898|218
静岡|26,756|658,283|14|0|26,533|209
愛知|106,433|1,393,198|114|4|105,163|1,156
三重|14,808|248,524|20|0|14,950|163
滋賀|12,415|273,022|12|0|12,299|104
京都|35,909|441,685|34|0|35,582|291
大阪|202,707|3,794,977|393|42|197,848|3,054
兵庫|78,548|793,162|144|3|77,008|1,396
奈良|15,905|263,602|33|0|15,723|149
和歌山|5,295|66,672|1|0|5,127|62
鳥取|1,668|155,651|0|0|1,638|5
島根|1,731|59,148|34|0|1,692|5
岡山|15,392|283,975|63|1|15,131|136
広島|22,104|935,181|48|0|21,854|202
山口|5,764|197,624|37|0|5,634|93
徳島|3,287|109,131|3|0|3,219|65
香川|4,703|135,622|0|0|4,664|38
愛媛|5,405|161,898|30|0|5,293|82
高知|4,166|104,311|4|0|4,129|33
福岡|74,469|1,320,446|79|6|73,766|622
佐賀|5,861|110,717|11|0|5,875|30
長崎|6,118|189,477|5|0|6,041|73
熊本|14,393|124,411|3|1|14,254|136
大分|8,186|280,592|0|0|8,102|84
宮崎|6,151|73,035|6|0|6,088|41
鹿児島|9,102|172,008|1|0|9,035|66
沖縄|50,275|412,904|83|3|49,773|396
その他（その他）|149|0|0|0|149|0
合計|1,719,818|25,695,882|2,023|99|1,698,251|18,305
