都道府県名|陽性者数 検査人数※3||％
北海道|17,010|307,606|5.5%
青森 ※3|695|12,951|5.4%
※3※4※5 岩手|495|19,489|2.5%
宮城 ※3※5|3,319|47,540|7.0%
秋田|253|6,342|4.0%
山形|473|13,706|3.5%
福島 ※3|1,678|80,564|2.1%
茨城|4,543|22,774|19.9%
栃木 ※3※5|3,653|102,263|3.6%
群馬 ※3※5|3,701|72,167|5.1%
埼玉 ※4|24,094|435,442|5.5%
千葉|21,134|310,216|6.8%
東京 ※1|96,507|1,278,331|7.5%
神奈川|39,159|479,033|8.2%
新潟 ※3※5|868|36,010|2.4%
富山 ※3※5|849|29,646|2.9%
石川 ※3|1,442|39,478|3.7%
福井 ※3|504|25,952|1.9%
山梨 ※3|898|14,741|6.1%
長野 ※3※5|2,239|78,608|2.8%
岐阜 ※5|4,088|100,416|4.1%
静岡 ※3※4|4,384|150,870|2.9%
※3※4※5 愛知|23,141|300,533|7.7%
三重 ※3|2,100|42,391|5.0%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|2,057|53,599|3.8%
京都|7,963|123,620|6.4%
大阪 ※3※5|42,427|625,938|6.8%
※3※4※5 兵庫|15,619|193,028|8.1%
奈良 ※5|2,932|66,519|4.4%
和歌山|1,024|20,848|4.9%
鳥取 ※3※4|198|33,040|0.6%
島根 ※5|250|11,764|2.1%
岡山 ※4|2,285|47,392|4.8%
広島 ※3|4,664|107,047|4.4%
山口 ※4|1,169|45,815|2.6%
徳島 ※3|375|20,824|1.8%
香川 ※5|610|36,139|1.7%
愛媛|969|23,059|4.2%
高知|829|6,805|12.2%
※3※4※5 福岡|15,367|356,547|4.3%
佐賀 ※3|931|23,222|4.0%
長崎|1,435|54,579|2.6%
熊本|3,284|51,221|6.4%
大分|1,093|60,886|1.8%
宮崎|1,777|22,039|8.1%
鹿児島|1,556|53,914|2.9%
沖縄 ※3|7,270|120,561|6.0%
長崎船 ※2 その他|149|0|-
合計|373,460|6,165,475|6.1%
