都道府県名|陽性者数 検査人数※3||％
北海道|15,694|278,511|5.6%
青森 ※3|635|11,939|5.3%
※3※4※5 岩手|457|16,895|2.7%
宮城 ※3※5|2,890|43,195|6.7%
秋田|196|5,211|3.8%
山形|442|11,649|3.8%
福島 ※3|1,410|69,748|2.0%
茨城|3,723|20,711|18.0%
栃木 ※3※5|3,108|88,377|3.5%
群馬 ※3※5|3,236|63,526|5.1%
埼玉 ※4|19,770|377,375|5.2%
千葉|16,890|262,900|6.4%
東京 ※1|83,878|1,161,971|7.2%
神奈川|32,392|412,964|7.8%
新潟 ※3※5|761|32,456|2.3%
富山 ※3※5|783|26,823|2.9%
石川 ※3|1,310|35,624|3.7%
福井 ※3|443|22,772|1.9%
山梨 ※3|816|14,741|5.5%
長野 ※3※5|1,937|63,438|3.1%
岐阜 ※5|3,455|86,422|4.0%
静岡 ※3※4|3,777|117,236|3.2%
※3※4※5 愛知|20,729|257,837|8.0%
三重 ※3|1,757|35,367|5.0%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|1,728|46,319|3.7%
京都|6,463|111,064|5.8%
大阪 ※3※5|37,631|550,329|6.8%
※3※4※5 兵庫|13,255|168,734|7.9%
奈良 ※5|2,564|58,339|4.4%
和歌山|852|18,831|4.5%
鳥取 ※3※4|175|29,320|0.6%
島根 ※5|234|10,183|2.3%
岡山 ※4|2,037|35,839|5.7%
広島 ※3|4,304|99,692|4.3%
山口 ※4|816|35,818|2.3%
徳島 ※3|287|17,793|1.6%
香川 ※5|521|31,904|1.6%
愛媛|800|18,865|4.2%
高知|765|6,289|12.2%
※3※4※5 福岡|12,349|308,566|4.0%
佐賀 ※3|751|18,583|4.0%
長崎|1,157|48,697|2.4%
熊本|2,888|43,346|6.7%
大分|916|53,846|1.7%
宮崎|1,475|18,888|7.8%
鹿児島|1,301|48,116|2.7%
沖縄 ※3|6,311|99,456|6.3%
長崎船 ※2 その他|149|0|-
合計|320,218|5,396,505|5.9%
