都道府県名|陽性者数 検査人数||％
北海道|18,835|369,291|5.1%
青森|812|17,099|4.7%
岩手|553|24,184|2.3%
宮城|3,563|66,366|5.4%
秋田|269|7,031|3.8%
山形|537|17,236|3.1%
福島|1,876|106,229|1.8%
茨城|5,595|24,833|22.5%
栃木|4,037|122,452|3.3%
群馬|4,381|89,498|4.9%
埼玉|28,756|531,822|5.4%
千葉|25,676|391,360|6.6%
東京|109,912|1,490,491|7.4%
神奈川|44,181|571,658|7.7%
新潟|1,032|42,392|2.4%
富山|903|35,301|2.6%
石川|1,797|48,506|3.7%
福井|542|30,834|1.8%
山梨|935|24,827|3.8%
長野|2,358|95,860|2.5%
岐阜|4,675|127,848|3.7%
静岡|5,015|179,607|2.8%
愛知|25,569|377,566|6.8%
三重|2,480|60,178|4.1%
都道府県名|陽性者数 検査人数||％
滋賀|2,398|68,106|3.5%
京都|9,017|151,641|5.9%
大阪|46,679|761,750|6.1%
兵庫|17,806|239,577|7.4%
奈良|3,338|79,558|4.2%
和歌山|1,159|24,236|4.8%
鳥取|208|39,345|0.5%
島根|281|15,115|1.9%
岡山|2,470|63,400|3.9%
広島|4,999|149,875|3.3%
山口|1,369|55,951|2.4%
徳島|447|25,617|1.7%
香川|744|43,568|1.7%
愛媛|1,052|31,232|3.4%
高知|884|7,091|12.5%
福岡|17,819|429,419|4.1%
佐賀|1,017|26,788|3.8%
長崎|1,605|65,672|2.4%
熊本|3,437|56,482|6.1%
大分|1,286|76,415|1.7%
宮崎|1,946|24,645|7.9%
鹿児島|1,747|65,502|2.7%
沖縄|8,093|142,076|5.7%
長崎船 その他|149|0|-
合計|424,239|7,495,530|5.7%
