都道府県名|陽性者数 検査人数※3||％
北海道|15,818|280,837|5.6%
青森 ※3|643|11,985|5.4%
※3※4※5 岩手|467|16,977|2.8%
宮城 ※3※5|2,921|43,870|6.7%
秋田|208|5,211|4.0%
山形|443|11,682|3.8%
福島 ※3|1,448|70,516|2.1%
茨城|3,812|20,711|18.4%
栃木 ※3※5|3,162|88,759|3.6%
群馬 ※3※5|3,290|63,526|5.2%
埼玉 ※4|20,785|378,221|5.5%
千葉|17,318|264,173|6.6%
東京 ※1|85,470|1,161,971|7.4%
神奈川|33,187|412,964|8.0%
新潟 ※3※5|767|32,456|2.4%
富山 ※3※5|796|26,823|3.0%
石川 ※3|1,326|35,793|3.7%
福井 ※3|447|23,084|1.9%
山梨 ※3|816|14,741|5.5%
長野 ※3※5|1,989|63,438|3.1%
岐阜 ※5|3,507|86,752|4.0%
静岡 ※3※4|3,869|117,236|3.3%
※3※4※5 愛知|21,051|257,837|8.2%
三重 ※3|1,783|35,367|5.0%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|1,747|47,337|3.7%
京都|6,463|111,064|5.8%
大阪 ※3※5|38,095|550,329|6.9%
※3※4※5 兵庫|13,520|170,389|7.9%
奈良 ※5|2,602|58,339|4.5%
和歌山|865|19,032|4.5%
鳥取 ※3※4|177|29,345|0.6%
島根 ※5|235|10,183|2.3%
岡山 ※4|2,071|35,839|5.8%
広島 ※3|4,358|99,692|4.4%
山口 ※4|833|35,818|2.3%
徳島 ※3|291|17,876|1.6%
香川 ※5|530|32,139|1.6%
愛媛|811|19,037|4.3%
高知|770|6,309|12.2%
※3※4※5 福岡|12,349|308,566|4.0%
佐賀 ※3|765|18,855|4.1%
長崎|1,157|48,964|2.4%
熊本|2,939|46,061|6.4%
大分|926|53,935|1.7%
宮崎|1,475|18,888|7.8%
鹿児島|1,357|48,606|2.8%
沖縄 ※3|6,400|101,010|6.3%
長崎船 ※2 その他|149|0|-
合計|326,208|5,412,543|6.0%
