都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|304,529|2,085,780|21,591|4|281,942|2,001
青森|49,086|226,612|3,503|0|45,483|100
岩手|28,762|253,252|2,795|3|25,881|86
宮城|75,872|529,736|3,526|2|71,926|190
秋田|26,054|58,804|2,353|1|23,639|62
山形|23,964|185,757|1,780|2|22,097|87
福島|53,750|766,902|4,082|2|49,452|216
茨城|146,635|1,240,444|3,012|2|143,200|423
栃木|82,590|719,758|3,622|1|78,702|266
群馬|86,216|604,612|2,903|0|83,004|309
埼玉|518,330|2,684,356|10,637|6|506,219|1,474
千葉|426,195|1,985,733|11,569|4|410,652|1,751
東京|1,455,565|6,528,071|61,248|8|1,389,961|4,356
神奈川|710,750|2,180,686|12,464|16|696,143|2,143
新潟|62,393|600,443|2,657|0|59,645|91
富山|32,614|230,693|1,333|1|31,189|92
石川|45,064|398,123|3,189|6|41,660|192
福井|28,249|298,689|1,197|0|27,007|45
山梨|29,297|297,841|845|0|28,389|67
長野|63,903|671,246|2,545|0|61,037|181
岐阜|87,516|814,989|3,114|1|83,721|324
静岡|149,208|1,164,154|4,908|0|143,682|403
愛知|489,251|2,555,881|18,280|10|468,947|2,024
三重|72,723|487,499|2,299|2|71,903|285
滋賀|82,133|588,851|2,616|1|79,304|213
京都|184,053|783,343|6,043|10|176,842|706
大阪|905,895|6,715,729|25,018|22|875,906|4,965
兵庫|389,907|1,478,078|9,850|10|377,859|2,203
奈良|85,949|486,463|7,127|2|78,450|372
和歌山|36,897|159,013|1,028|0|35,553|117
鳥取|12,576|355,815|603|0|11,795|14
島根|14,328|187,665|1,020|1|13,293|15
岡山|82,705|534,328|3,546|1|77,977|241
広島|130,201|1,740,436|11,034|5|118,700|467
山口|37,569|535,464|1,551|2|35,845|173
徳島|19,109|196,347|445|0|18,589|80
香川|40,419|253,345|1,791|0|38,507|121
愛媛|34,273|334,702|1,621|3|32,515|137
高知|22,303|250,894|1,292|1|20,906|105
福岡|379,330|2,494,752|14,044|7|357,841|1,222
佐賀|46,110|253,053|2,542|0|40,724|104
長崎|46,230|343,630|3,531|2|45,036|123
熊本|84,333|261,889|4,512|5|79,537|284
大分|45,500|539,582|2,228|1|43,116|156
宮崎|42,002|180,473|2,861|3|39,083|134
鹿児島|67,568|371,477|4,300|3|62,562|185
沖縄|168,987|760,463|11,493|15|157,036|448
その他（その他）|149|0|0|0|149|0
合計|8,007,042|47,375,853|305,548|165|7,662,606|29,753
