都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|306,641|2,091,637|20,586|3|284,826|2,001
青森|49,427|227,818|2,280|0|47,047|100
岩手|29,032|254,311|2,752|3|26,194|86
宮城|76,410|532,383|3,367|1|72,315|191
秋田|26,383|58,804|2,396|1|23,925|62
山形|24,165|185,757|1,681|2|22,397|87
福島|54,249|766,902|4,066|2|49,967|216
茨城|146,983|1,240,444|2,573|2|143,987|423
栃木|83,228|720,046|3,697|2|79,265|266
群馬|86,216|604,612|2,974|0|83,434|309
埼玉|519,728|2,693,321|10,263|5|507,985|1,480
千葉|427,244|1,985,733|11,569|4|410,652|1,752
東京|1,459,374|6,543,848|60,165|8|1,394,847|4,362
神奈川|712,411|2,180,686|11,869|15|698,398|2,144
新潟|62,822|601,226|2,672|0|60,059|91
富山|32,798|230,693|1,421|1|31,285|92
石川|45,336|399,959|2,924|6|42,197|192
福井|28,484|299,490|1,219|0|27,220|45
山梨|29,297|297,841|845|0|28,389|67
長野|64,440|671,246|2,685|0|61,381|181
岐阜|88,286|820,367|2,898|1|84,294|324
静岡|149,856|1,164,154|4,781|0|143,682|404
愛知|490,246|2,555,881|16,967|10|471,254|2,025
三重|73,113|487,499|2,255|2|72,341|285
滋賀|82,478|589,798|2,230|1|80,035|213
京都|184,937|785,288|6,139|10|177,208|706
大阪|910,087|6,725,461|23,992|22|881,124|4,967
兵庫|390,572|1,479,994|9,572|8|378,797|2,204
奈良|86,091|486,463|6,564|2|79,155|372
和歌山|37,170|159,659|1,100|0|35,754|117
鳥取|12,641|357,656|593|0|11,870|14
島根|14,466|187,665|1,031|1|13,420|15
岡山|83,393|534,328|3,546|1|77,977|241
広島|130,846|1,740,436|11,030|5|119,349|467
山口|37,846|535,464|1,622|1|36,050|174
徳島|19,218|197,355|490|0|18,653|80
香川|40,822|253,822|1,883|0|38,818|121
愛媛|34,626|335,097|1,680|3|32,809|137
高知|22,593|250,894|1,390|1|21,097|106
福岡|381,539|2,504,436|13,174|6|359,885|1,222
佐賀|46,604|254,285|2,317|0|41,171|105
長崎|46,781|345,316|3,639|2|45,506|123
熊本|84,333|261,889|4,512|5|79,537|284
大分|45,966|543,344|2,323|1|43,487|156
宮崎|42,465|180,919|3,002|3|39,400|135
鹿児島|68,496|373,894|4,112|2|63,271|185
沖縄|171,362|764,027|12,198|17|158,722|448
その他（その他）|149|0|0|0|149|0
合計|8,041,650|47,462,148|297,044|159|7,700,585|29,777
