都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|232,048|1,880,383|18,466|5|211,632|1,940
青森|37,873|200,751|4,181|0|33,606|86
岩手|19,392|219,826|2,408|0|16,906|78
宮城|60,673|467,776|5,005|4|54,848|175
秋田|17,634|52,069|2,726|3|14,859|49
山形|18,407|173,251|2,112|2|16,215|80
福島|38,320|690,319|4,111|2|34,010|199
茨城|119,986|44,830|8,052|3|111,554|380
栃木|65,535|677,898|6,441|1|58,844|250
群馬|72,466|551,908|4,827|1|67,349|290
埼玉|444,801|2,486,139|27,257|18|416,148|1,396
千葉|370,337|1,836,098|20,271|17|346,204|1,669
東京|1,285,279|6,062,962|98,197|30|1,182,875|4,207
神奈川|620,477|2,180,686|29,465|32|588,977|2,035
新潟|45,466|532,385|4,644|0|40,731|91
富山|28,744|214,831|2,560|1|26,103|81
石川|35,782|357,257|2,263|3|33,311|186
福井|22,109|267,193|1,098|0|20,967|44
山梨|24,262|248,105|1,862|1|22,343|64
長野|46,592|593,215|4,242|0|41,566|168
岐阜|71,290|740,362|3,992|0|66,227|314
静岡|126,057|1,066,008|8,183|1|117,163|380
愛知|421,582|2,349,808|18,611|18|400,994|1,977
三重|58,219|430,346|4,388|4|55,086|268
滋賀|71,338|528,994|5,045|2|66,099|194
京都|159,389|727,962|9,549|10|148,467|673
大阪|811,491|6,253,028|38,543|284|768,187|4,738
兵庫|340,512|1,371,180|14,577|14|323,813|2,125
奈良|75,987|452,383|9,534|9|66,102|351
和歌山|29,466|138,927|1,292|0|27,889|110
鳥取|9,653|309,706|667|0|8,858|14
島根|10,048|141,330|1,202|0|8,835|11
岡山|65,038|483,667|2,953|1|58,933|223
広島|100,832|1,547,535|10,202|3|90,180|450
山口|30,715|484,444|2,645|1|27,904|166
徳島|16,547|181,030|707|2|15,764|79
香川|31,081|228,584|2,663|0|28,305|113
愛媛|26,161|298,548|2,634|5|23,397|130
高知|17,681|222,995|1,289|3|16,291|101
福岡|312,601|2,271,127|27,919|10|277,160|1,141
佐賀|33,760|221,504|2,729|0|28,373|88
長崎|34,253|311,214|3,221|1|32,445|116
熊本|67,188|233,272|4,839|5|62,074|275
大分|34,115|487,468|2,987|1|30,984|144
宮崎|27,645|155,524|3,173|2|24,428|118
鹿児島|47,233|315,147|5,449|0|40,891|171
沖縄|127,423|670,313|8,114|9|118,874|441
その他（その他）|149|0|0|0|149|0
合計|6,763,637|42,360,288|447,295|508|6,272,920|28,379
