都道府県名|陽性者数 検査人数※3||％
北海道|12,381|215,175|5.8%
青森 ※3|396|8,697|4.6%
※3※4※5 岩手|341|13,054|2.6%
宮城 ※3※5|1,801|23,979|7.5%
秋田|96|3,955|2.4%
山形|330|9,675|3.4%
福島 ※3|758|50,811|1.5%
茨城|2,168|18,305|11.8%
栃木 ※3※5|1,073|66,600|1.6%
群馬 ※3※5|1,973|49,001|4.0%
埼玉 ※4|11,985|292,587|4.1%
千葉|9,324|207,373|4.5%
東京 ※1|52,382|915,116|5.7%
神奈川|17,387|321,144|5.4%
新潟 ※3※5|448|26,017|1.7%
富山 ※3※5|503|20,475|2.5%
石川 ※3|974|27,413|3.6%
福井 ※3|337|17,946|1.9%
山梨 ※3|488|14,349|3.4%
長野 ※3※5|1,053|42,266|2.5%
岐阜 ※5|1,783|57,821|3.1%
静岡 ※3※4|2,405|78,638|3.1%
※3※4※5 愛知|14,219|171,494|8.3%
三重 ※3|1,161|26,913|4.3%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|955|34,089|2.8%
京都|3,829|83,002|4.6%
大阪 ※3※5|27,500|419,310|6.6%
※3※4※5 兵庫|8,248|124,566|6.6%
奈良 ※5|1,712|43,905|3.9%
和歌山|587|15,857|3.7%
鳥取 ※3※4|70|21,680|0.3%
島根 ※5|181|8,556|2.1%
岡山 ※4|1,124|27,231|4.1%
広島 ※3|2,377|60,968|3.9%
山口 ※4|472|24,734|1.9%
徳島 ※3|192|14,398|1.3%
香川 ※5|211|20,806|1.0%
愛媛|379|10,881|3.5%
高知|549|5,379|10.2%
※3※4※5 福岡|7,547|243,185|3.1%
佐賀 ※3|417|13,682|3.0%
長崎|419|35,060|1.2%
熊本|1,468|30,918|4.7%
大分|580|38,198|1.5%
宮崎|669|11,785|5.7%
鹿児島|890|34,915|2.5%
沖縄 ※3|5,010|84,362|5.9%
長崎船 ※2 その他|149|0|-
合計|201,301|4,086,271|4.9%
