都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|38,830|696,174|6,991|46|31,089|1,156
青森|2,393|45,518|180|1|2,183|30
岩手|1,472|75,364|110|1|1,317|45
宮城|8,919|146,010|192|6|8,628|83
秋田|760|13,808|37|1|709|14
山形|1,978|60,117|117|3|1,818|43
福島|4,612|246,242|193|10|4,272|147
茨城|9,819|32,753|385|10|9,283|151
栃木|6,427|265,565|298|12|6,051|78
群馬|7,879|176,036|310|18|7,430|139
埼玉|44,145|890,336|1,486|50|41,865|794
千葉|37,417|616,888|907|18|35,824|686
東京|162,421|2,310,755|4,666|67|155,664|2,091
神奈川|62,108|941,010|1,869|68|59,343|896
新潟|3,266|147,570|239|7|2,988|39
富山|1,900|65,340|200|7|1,664|36
石川|3,799|97,226|344|9|3,344|108
福井|1,050|59,756|29|0|987|34
山梨|1,568|43,111|90|1|1,459|19
長野|4,841|182,225|210|5|4,612|85
岐阜|9,007|243,405|687|20|8,153|167
静岡|8,511|356,876|599|7|7,774|138
愛知|47,824|723,867|4,439|95|42,569|816
三重|4,985|123,611|309|11|4,698|107
滋賀|5,206|132,109|443|14|4,682|81
京都|15,963|258,064|762|25|14,940|215
大阪|100,357|1,857,360|7,602|293|89,457|2,382
兵庫|39,919|464,384|1,318|77|37,399|1,206
奈良|7,953|154,164|251|9|7,585|117
和歌山|2,633|40,589|66|20|2,467|45
鳥取|466|73,958|25|0|432|2
島根|543|27,832|61|3|482|0
岡山|7,428|138,031|992|31|6,022|108
広島|10,815|501,470|827|26|9,460|137
山口|2,968|108,624|330|5|2,573|65
徳島|1,632|59,289|31|1|1,539|62
香川|2,025|78,492|112|6|1,892|26
愛媛|2,722|87,446|54|4|2,595|73
高知|1,539|10,081|227|7|1,292|20
福岡|34,401|758,978|3,336|77|30,499|469
佐賀|2,519|51,077|114|3|2,411|20
長崎|2,934|113,304|123|2|2,743|68
熊本|6,298|79,169|493|26|5,704|101
大分|3,420|149,222|270|4|3,098|52
宮崎|3,042|43,321|85|2|2,921|26
鹿児島|3,409|102,894|256|3|3,128|30
沖縄|17,808|223,114|2,754|87|14,907|153
（その他）|149|-|0|-|149|-
合計|752,080|14,072,535|45,419|1,198|692,101|13,360
