都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|27,511|567,299|3,261|26|23,127|906
青森|1,838|36,421|297|5|1,515|26
岩手|1,122|62,028|199|1|887|36
宮城|8,361|126,044|425|12|7,846|74
秋田|620|11,844|141|0|470|9
山形|1,622|50,582|127|6|1,459|36
福島|3,966|200,141|604|23|3,233|129
茨城|8,680|31,047|466|16|8,079|135
栃木|5,650|223,235|283|4|5,293|74
群馬|6,842|147,594|717|17|6,016|109
埼玉|40,289|796,576|2,699|49|36,838|752
千葉|34,691|563,836|1,362|17|32,681|648
東京|148,092|2,105,672|7,169|81|139,000|1,923
神奈川|56,253|845,267|2,097|51|53,315|841
新潟|2,646|118,647|358|2|2,261|27
富山|1,428|54,650|139|6|1,257|32
石川|2,957|75,110|542|15|2,325|88
福井|962|53,134|85|1|844|33
山梨|1,334|36,365|126|3|1,190|19
長野|4,154|156,344|300|7|3,841|72
岐阜|6,905|202,486|894|12|5,871|140
静岡|6,938|312,707|456|7|6,353|129
愛知|37,130|598,686|4,334|50|32,140|656
三重|4,216|104,528|572|14|3,657|93
滋賀|4,257|111,107|608|11|3,582|67
京都|13,813|228,075|1,618|30|12,047|194
大阪|91,184|1,559,121|21,900|401|66,587|1,785
兵庫|35,552|407,485|4,679|91|30,076|797
奈良|7,065|135,346|920|26|6,054|91
和歌山|2,389|36,154|217|40|2,100|34
鳥取|404|65,378|41|0|354|2
島根|385|21,314|30|1|355|0
岡山|5,257|108,427|863|20|3,492|49
広島|7,100|307,758|681|13|5,963|111
山口|2,170|82,172|373|4|1,748|49
徳島|1,506|48,215|227|8|1,227|52
香川|1,629|66,175|376|4|1,236|23
愛媛|2,555|69,556|269|7|2,226|60
高知|1,126|8,584|58|3|1,048|20
福岡|27,608|648,462|4,517|51|22,314|374
佐賀|2,041|42,582|339|3|1,625|15
長崎|2,563|98,232|514|14|2,006|46
熊本|4,797|69,306|670|16|4,044|83
大分|2,525|122,075|688|3|1,807|30
宮崎|2,657|34,771|439|4|2,186|24
鹿児島|2,649|88,808|422|1|2,175|28
沖縄|13,263|198,729|1,153|13|11,977|139
（その他）|149|-|0|-|149|-
合計|648,851|12,038,075|69,255|1,189|565,876|11,060
