都道府県名|陽性者数 検査人数||％
北海道|18,171|340,246|5.3%
青森|750|15,703|4.8%
岩手|516|21,661|2.4%
宮城|3,478|49,497|7.0%
秋田|269|6,876|3.9%
山形|527|16,108|3.3%
福島|1,788|93,246|1.9%
茨城|5,213|24,100|21.6%
栃木|3,898|114,470|3.4%
群馬|4,149|80,828|5.1%
埼玉|27,004|489,778|5.5%
千葉|23,989|360,378|6.7%
東京|104,533|1,394,055|7.5%
神奈川|42,544|531,998|8.0%
新潟|965|38,653|2.5%
富山|882|32,888|2.7%
石川|1,580|44,128|3.6%
福井|528|28,583|1.8%
山梨|914|14,741|6.2%
長野|2,340|89,440|2.6%
岐阜|4,480|114,571|3.9%
静岡|4,774|159,633|3.0%
愛知|24,695|343,230|7.2%
三重|2,343|52,085|4.5%
都道府県名|陽性者数 検査人数||％
滋賀|2,261|62,642|3.6%
京都|8,771|140,204|6.3%
大阪|45,350|692,573|6.5%
兵庫|17,165|218,372|7.9%
奈良|3,217|74,191|4.3%
和歌山|1,113|22,803|4.9%
鳥取|207|36,612|0.6%
島根|278|13,515|2.1%
岡山|2,415|55,878|4.3%
広島|4,899|139,933|3.5%
山口|1,323|49,814|2.7%
徳島|397|23,174|1.7%
香川|706|40,339|1.8%
愛媛|1,023|27,743|3.7%
高知|864|6,969|12.4%
福岡|16,892|394,980|4.3%
佐賀|986|25,329|3.9%
長崎|1,565|61,489|2.5%
熊本|3,388|55,083|6.2%
大分|1,237|70,251|1.8%
宮崎|1,891|24,235|7.8%
鹿児島|1,675|59,643|2.8%
沖縄|7,901|133,750|5.9%
長崎船 その他|149|0|-
合計|406,003|6,886,418|5.9%
