都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|60,819|1,172,814|92|0|59,250|1,472
青森|5,895|96,043|4|1|5,853|38
岩手|3,486|127,134|0|0|3,433|53
宮城|16,273|250,408|16|1|16,139|118
秋田|1,910|26,983|7|0|1,876|27
山形|3,551|104,469|5|0|3,490|56
福島|9,484|433,016|3|2|9,306|175
茨城|24,413|40,491|23|1|24,172|218
栃木|15,455|500,640|15|1|15,324|116
群馬|16,809|315,919|48|0|16,585|176
埼玉|115,650|1,531,674|96|13|114,507|1,047
千葉|100,365|1,134,708|68|1|99,268|1,026
東京|381,796|3,852,591|274|12|378,367|3,155
神奈川|168,974|1,684,739|118|8|167,545|1,311
新潟|7,999|296,787|11|0|7,927|61
富山|4,867|121,480|2|0|4,813|52
石川|7,963|202,321|2|0|7,811|129
福井|3,113|121,316|4|0|3,071|38
山梨|5,155|122,749|0|0|5,126|29
長野|8,879|336,607|6|0|8,831|97
岐阜|19,209|434,521|98|1|18,888|218
静岡|26,759|656,577|11|0|26,530|209
愛知|106,417|1,387,373|109|4|105,152|1,156
三重|14,808|248,524|24|0|14,946|163
滋賀|12,415|272,760|16|0|12,295|104
京都|35,907|441,580|34|0|35,579|291
大阪|202,692|3,785,600|416|42|197,798|3,053
兵庫|78,547|792,310|164|3|76,987|1,396
奈良|15,905|262,798|36|0|15,720|149
和歌山|5,295|66,658|2|0|5,126|62
鳥取|1,668|155,650|2|0|1,636|5
島根|1,731|59,148|42|0|1,684|5
岡山|15,376|283,975|63|1|15,131|136
広島|22,097|932,963|47|0|21,848|202
山口|5,758|197,624|36|0|5,629|93
徳島|3,287|109,076|3|0|3,219|65
香川|4,703|135,600|0|0|4,664|38
愛媛|5,404|161,846|31|0|5,291|82
高知|4,166|103,173|5|0|4,128|33
福岡|74,469|1,320,446|79|6|73,766|622
佐賀|5,861|110,666|11|0|5,875|30
長崎|6,118|189,366|7|0|6,039|73
熊本|14,395|124,411|4|1|14,255|136
大分|8,186|280,590|0|0|8,102|84
宮崎|6,151|73,035|6|0|6,088|41
鹿児島|9,102|171,973|1|0|9,035|66
沖縄|50,273|412,038|87|3|49,769|396
その他（その他）|149|0|0|0|149|0
合計|1,719,704|25,643,170|2,128|101|1,698,023|18,302
