都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|348,548|2,210,562|23,212|6|324,376|2,050
青森|55,035|241,516|2,310|0|52,621|104
岩手|33,346|272,834|2,679|0|30,580|87
宮城|84,401|568,990|3,735|2|80,031|195
秋田|29,646|61,517|1,554|0|28,026|66
山形|27,595|192,361|1,886|0|25,617|92
福島|61,928|812,002|3,899|0|57,811|218
茨城|156,312|1,240,444|3,147|2|152,730|435
栃木|89,617|740,741|3,275|4|86,070|272
群馬|92,734|633,771|3,011|2|89,407|316
埼玉|543,628|2,795,918|9,738|1|532,320|1,570
千葉|444,569|2,045,327|8,387|3|427,808|1,773
東京|1,522,000|6,771,424|39,671|4|1,477,873|4,456
神奈川|744,451|2,180,686|13,283|8|728,991|2,177
新潟|69,646|637,863|3,450|1|66,105|91
富山|36,398|244,102|2,395|1|33,910|93
石川|53,390|434,275|3,785|1|49,388|194
福井|33,857|320,386|1,713|0|32,099|45
山梨|31,528|318,457|846|0|30,621|68
長野|71,429|712,896|3,251|0|67,707|193
岐阜|97,913|867,493|4,458|0|92,396|330
静岡|165,598|1,224,444|7,592|0|157,233|406
愛知|527,199|2,669,568|17,431|5|507,723|2,045
三重|80,089|507,221|3,133|0|78,563|298
滋賀|88,690|625,804|2,936|0|85,535|219
京都|199,280|818,579|7,644|5|190,136|712
大阪|959,564|6,974,144|29,811|20|924,729|5,024
兵庫|415,800|1,539,669|11,759|5|401,817|2,227
奈良|91,060|508,438|3,484|1|87,192|384
和歌山|41,201|170,624|1,415|0|39,461|117
鳥取|14,502|387,392|1,076|1|13,217|19
島根|16,463|202,807|979|0|15,469|15
岡山|94,911|568,423|5,287|0|85,600|247
広島|150,990|1,847,128|11,699|0|138,808|483
山口|42,881|555,904|2,583|1|40,123|175
徳島|21,541|209,596|1,140|1|20,322|81
香川|46,738|270,040|2,652|1|43,963|123
愛媛|38,341|352,107|1,816|3|36,386|139
高知|26,623|282,783|2,044|1|24,468|111
福岡|415,367|2,635,857|15,143|3|392,175|1,244
佐賀|51,166|270,867|1,981|0|46,457|105
長崎|53,542|367,768|3,731|1|52,580|124
熊本|95,124|275,873|5,527|3|89,310|287
大分|52,214|573,970|2,810|1|49,245|159
宮崎|50,601|188,225|4,402|1|46,134|141
鹿児島|79,533|404,245|4,772|0|73,925|192
沖縄|205,410|821,441|16,407|15|188,507|459
その他（その他）|149|0|0|0|149|0
合計|8,652,548|49,556,482|308,939|103|8,295,714|30,361
